Symbol,Historical Average,Current Price,Difference,Change
MSFT,329.3212483723958,341.27,11.948751627604167,1.85
AAPL,151.70136492821965,160.55,8.848635071780365,2.97
AMZN,3506.0318806966147,3676.57,170.53811930338543,-23.81
GOOGL,2924.813303629557,2996.77,71.95669637044284,-21.27
TSLA,1057.316256205241,1096.38,39.06374379475915,45.32
GOOG,2937.481241861979,3014.18,76.69875813802082,-17.19
FB,334.71750513712567,338.69,3.9724948628743277,6.71
NVDA,280.2912489573161,316.75,36.4587510426839,13.76
JPM,167.81958389282227,163.05,-4.769583892822254,-1.95
HD,377.0865770975749,405.85,28.763422902425134,2.85
JNJ,163.42208099365234,162.4,-1.022080993652338,0.45
UNH,451.8587506612142,449.47,-2.3887506612141465,-9.53
PG,144.27881478928578,147.12,2.8411852107142295,-0.38
V,215.68022410195604,203.33,-12.35022410195603,-2.19
BAC,47.13083680470785,46.32,-0.8108368047078471,-0.91
ADBE,655.5183308919271,670.96,15.441669108072915,18.53
MA,351.6104164123535,348.22,-3.3904164123534883,-8.12
NFLX,670.6418711344401,682.02,11.378128865559916,-3.27
CRM,301.2729148864746,302.99,1.7170851135253997,-1.14
PFE,46.89210495157557,51.41,4.517895048424428,-0.56
DIS,165.9200013478597,155.58,-10.340001347859697,-1.55
XOM,63.612223720875335,63.61,-0.002223720875335289,-2.88
TMO,624.7306340535482,637.63,12.89936594645178,-0.63
CMCSA,53.21541706720988,52.78,-0.43541706720987605,-0.91
AVGO,546.980411529541,574.81,27.82958847045893,-5.71
PYPL,226.08604303995767,200.5,-25.586043039957673,-6.5
ACN,363.2266654968262,370.78,7.553334503173801,-0.99
COST,504.56451416015625,529.37,24.805485839843755,3.76
ABT,126.61791674296062,127.64,1.0220832570393839,-0.8
CSCO,55.43750047683716,53.63,-1.8075004768371556,-0.28
PEP,162.2629191080729,163.42,1.1570808919270803,0.39
CVX,112.90443339776039,114.45,1.5455666022396173,-2.54
NKE,168.93220011393228,171.35,2.417799886067712,3.85
KO,55.71666669845581,55.41,-0.30666669845581396,-0.27
VZ,52.27708355585734,51.24,-1.0370835558573361,-0.3
MRK,83.01395924886067,83.05,0.03604075113932481,-2.33
QCOM,156.6425895690918,186.32,29.677410430908196,-1.32
LLY,255.18102604811742,261.33,6.148973951882567,-0.35
ABBV,114.51125017801921,117.07,2.5587498219807827,-0.76
WFC,50.400348952621954,49.9,-0.5003489526219553,-1.08
WMT,147.07499885559082,143.16,-3.9149988555908237,-0.81
INTC,50.427083810170494,49.68,-0.7470838101704942,-0.16
DHR,306.40333302815753,312.65,6.246666971842444,1.48
MCD,248.5016663869222,253.48,4.97833361307778,-1.51
AMD,136.74291642506918,155.02,18.277083574930828,0.18
TXN,192.7114575703939,193.47,0.7585424296061092,1.69
LOW,236.1889928422474,247.38,11.191007157752608,2.16
T,25.051249901453655,24.39,-0.6612499014536546,-0.25
INTU,615.1077092488607,628.94,13.83229075113934,64.01
NEE,85.58166631062825,87.6,2.018333689371744,0.71
LIN,326.09104283650714,331,4.9089571634928575,1.19
MDT,120.44958273569743,117.67,-2.7795827356974314,-0.65
UNP,239.06333287556967,240.24,1.1766671244303382,-0.24
ORCL,95.5629170735677,94.66,-0.902917073567707,-0.16
HON,220.45352418446504,220.7,0.24647581553495002,-2.76
UPS,207.0412411753855,207.47,0.4287588246145049,0.85
AMAT,147.6056251525879,158.74,11.134374847412118,-8.64
PM,94.47230084737141,91.55,-2.9223008473714174,-1.15
MS,100.10804686631771,97.68,-2.4280468663177004,-0.77
C,68.75647258917571,67.11,-1.6464725891757155,-0.73
NOW,684.9900029500326,675.84,-9.150002950032558,-0.83
SBUX,112.54291248321533,112.9,0.35708751678467365,-2.16
GS,405.8791732788086,391.37,-14.50917327880859,-4.62
BLK,937.6585413614908,922.77,-14.888541361490866,-7.82
BMY,58.74458360671997,59.04,0.29541639328002844,-1.21
RTX,89.28524394132974,86.91,-2.3752439413297424,-1.05
ISRG,354.6383361816406,359.2,4.561663818359364,-9.6
CVS,91.4724438093337,95.34,3.8675561906663063,-2.11
BA,220.06171035766602,227.25,7.188289642333984,-12.92
TGT,255.8976961631811,252.05,-3.847696163181098,-1.35
SCHW,81.8451251577383,81.72,-0.1251251577382959,-1.72
AMT,272.8591664632161,258.96,-13.899166463216147,1.04
AMGN,208.68437639872232,204.02,-4.664376398722311,2.06
AXP,179.31020800272623,176.21,-3.1002080027262195,-2.67
SPGI,459.5793762207031,463.93,4.350623779296882,-2.93
PLD,146.766876856486,150.58,3.8131231435140194,-0.36
GE,105.32666683197021,100.67,-4.656666831970213,-0.69
CAT,204.59088047508433,201.42,-3.1708804750843456,-0.98
ZTS,216.14595727894607,225.54,9.394042721053921,0.89
IBM,120.28035282947586,116.66,-3.6203528294758627,-0.61
ANTM,427.5025011698405,425.88,-1.6225011698405183,-10.67
MMM,179.96094976974445,178.77,-1.1909497697444351,0.48
DE,351.91625086466473,357.11,5.193749135335281,-10.96
