Symbol,Week 1 Diff,Week 1 Ch,Week 2 Diff,Week 2 Ch
JPM,-4.769583892822254,-1.95,-4.509375127156574,3.93
JNJ,-1.022080993652338,0.45,-1.041561842261359,0.99
UNH,-2.3887506612141465,-9.53,-3.7391685994466,9.59
V,-12.35022410195603,-2.19,-10.533244940635058,2.91
BAC,-0.8108368047078471,-0.91,0.3529168764750139,1.22
MA,-3.3904164123534883,-8.12,-13.385000864664732,7.7
DIS,-10.340001347859696,-1.55,-11.199167302449553,-3.13
XOM,-0.0022237208753352,-2.88,0.0238361804205951,1.62
CMCSA,-0.435417067209876,-0.91,-0.5443753814697274,0.29
PYPL,-25.586043039957676,-6.5,-11.467708587646484,-1.08
CSCO,-1.807500476837156,-0.28,-2.105500335693357,0.79
KO,-0.3066666984558139,-0.27,-0.5660002136230489,0.41
VZ,-1.037083555857336,-0.3,-0.9060000991821298,0.21
WFC,-0.5003489526219553,-1.08,-0.6810151692378028,1.06
WMT,-3.914998855590824,-0.81,-4.325498046874998,1.03
INTC,-0.7470838101704942,-0.16,-0.3100001525878895,-0.68
T,-0.6612499014536546,-0.25,-0.5024999237060541,0.06
MDT,-2.7795827356974314,-0.65,-1.961499862670891,-3.51
ORCL,-0.902917073567707,-0.16,-0.34700035095215753,-1.67
PM,-2.9223008473714174,-1.15,-1.954500961303708,-0.13
MS,-2.4280468663177004,-0.77,-2.692182396629221,2.54
C,-1.6464725891757157,-0.73,-1.308706517713432,1.03
NOW,-9.150002950032558,-0.83,-5.343499145507735,-19.47
GS,-14.50917327880859,-4.62,-14.424000244140643,10.18
BLK,-14.888541361490866,-7.82,-19.74299743652341,16.1
RTX,-2.3752439413297424,-1.05,-1.4095501907692665,0.51
TGT,-3.847696163181098,-1.35,-3.127898627894524,4.61
SCHW,-0.1251251577382959,-1.72,-0.06870590029569712,1.02
AMT,-13.899166463216147,1.04,-13.701000061035188,4.37
AMGN,-4.664376398722311,2.06,-4.95400054931639,1.75
AXP,-3.1002080027262195,-2.67,-0.96249984741209,-0.05
GE,-4.656666831970213,-0.69,-4.905999832153313,1.04
CAT,-3.1708804750843456,-0.98,-4.238000946044934,2.95
IBM,-3.620352829475863,-0.61,-2.0465018540906215,0.32
ANTM,-1.6225011698405185,-10.67,-1.952499694824212,4.26
MMM,-1.1909497697444351,0.48,-1.1084488708310687,-0.2
BKNG,-75.87520426432275,-35.99,-66.01299316406266,29.09
COP,-1.2572703176482634,-2.9,-0.7430287444048247,1.89
MRNA,-28.105000025431337,11.17,-24.32974990844727,-5.69
SYK,-7.797295379638683,-0.94,-6.9805015563965185,-5.76
CHTR,-10.058753763834602,-2.85,-2.803508300781232,6.68
PNC,-6.400417175292972,-1.55,-6.402499237060539,4.94
LMT,-4.510831756591813,0.8,-0.12250244140625455,0.2
TFC,-1.1188153333295858,-1.76,-1.0359138883780474,0.79
MO,-1.4654748344421409,-0.55,-0.8494999313354512,0.25
USB,-1.9269872665405288,-1.06,-1.6394992828369155,1.09
DUK,-1.8922964646717588,0.63,-1.935897582890675,0.49
EW,-0.0079168192545608,0.0,0.0669995117187483,-2.21
EQIX,-8.10416809082028,-7.19,-5.70450073242182,3.71
TMUS,-1.05458340962727,-1.36,-0.5849993896484307,1.15
COF,-4.349142847028247,-1.67,-2.2726075654155693,3.08
NSC,-5.806450532057966,-7.95,-6.1360650968643995,2.67
FIS,-6.68333299001057,0.93,-4.846500244140614,0.78
AON,-9.55118913578002,1.96,-7.6621505291091125,-1.53
APD,-4.346664835611989,2.26,-6.113999328613261,1.48
SO,-0.4258897577818388,0.98,-0.6226563810765242,-0.11
CL,-0.1595254229523561,0.81,-0.7559987640380825,0.37
D,-1.4337500508626275,-0.99,-0.21249977111816065,0.78
FISV,-2.548332316080732,-1.07,0.9260009765625057,1.33
HCA,-8.177917582193999,-4.19,-2.425001525878912,1.24
BSX,-1.6204166793823234,-0.21,-1.1939999008178717,-0.47
HUM,-5.210417378743443,-16.22,-3.171000366210933,4.84
EMR,-1.6873218382739594,-0.88,-1.661880470747775,0.03
ILMN,-21.792088267008467,3.42,-18.7330014038086,-16.15
IDXX,-6.113957722981809,13.27,-5.8300018310546875,-16.68
PGR,-3.258332837422685,-0.42,-3.717999725341798,2.47
NOC,-16.71333129882811,1.71,-12.088998107910129,1.06
EOG,-2.8887496439615887,-3.81,-2.6689991760253804,5.05
CMG,-27.72437357584636,-25.17,-10.091499023437336,-12.95
ATVI,-8.634999669392897,-0.17,-6.943000488281243,-0.64
VRTX,-1.5466669464111362,-2.53,-1.3145010375976653,5.5
AIG,-2.4431246566772487,-1.22,-2.348499755859379,1.96
TROW,-2.9420826721191418,0.57,-4.2974987792968875,-0.14
EBAY,-0.9987503178914352,-0.31,-0.3885002899169905,-1.95
BK,-0.9696743389992336,-0.7,-1.1841315578144034,0.8
GD,-4.3191680908203125,-1.0,-3.1389991760253793,0.93
MET,-1.064858828634506,-1.51,-0.54633111658638,0.85
SLB,-1.178753906885781,-1.78,-0.5629994773864766,0.84
LHX,-8.049493322479975,0.0,-4.090571904267932,-0.62
DOW,-0.5341661961873427,-0.64,-0.3669999313354495,0.39
MAR,-3.1562482706705737,-1.66,-3.562498016357438,1.09
PRU,-1.956487019856766,-2.72,0.13228501328352138,2.71
AEP,-0.5069567615299775,0.68,-0.6584811642808575,-0.06
PXD,-6.271334686279289,-2.75,-5.552001037597648,7.58
MPC,-2.4340569755262464,-2.4,-1.7594005674970106,2.16
HLT,-1.3749988810221223,0.78,-1.857998809814461,1.86
BAX,-0.5220835749308321,0.15,-0.2715006256103578,-0.84
MTCH,-11.89916676839195,-1.89,-7.935498962402363,-2.01
EA,-2.7079180908203,-4.36,-1.0445010375976551,2.72
SRE,-3.912082761128744,0.02,-3.3750001525879014,0.37
TRV,-2.8604177347818904,-3.5,-2.480500335693364,3.39
TWTR,-6.330000623067221,-0.04,-3.9910005569457994,-0.17
SYY,-2.8945833714802944,-0.76,-2.395500106811511,1.14
RMD,-0.1735264223866011,-2.85,1.4166623196286992,-2.86
BIIB,-10.732916793823222,0.71,-9.893000183105471,1.79
SBAC,-0.0670793151855377,-0.25,-1.0639962768554483,5.13
GPN,-12.865623855590826,0.77,-8.446999740600603,1.52
STT,-2.1245830154419,-0.49,-2.334499511718761,0.95
DFS,-3.5037503941853743,-1.13,-1.4339942203786649,3.2
WBA,-0.7874997584025039,-0.62,-0.6529999542236311,-0.11
WMB,-0.4977082697550479,-0.53,-0.2939999389648449,0.48
AJG,-1.2931246185302712,0.6,-1.5450003051757903,-0.02
CBRE,-3.806250228881837,0.08,-4.222500457763672,4.84
ALL,-6.485000394185377,-1.12,-5.063500823974607,1.35
CMI,-8.247333819412603,-3.35,-5.450889056790658,-0.14
PSX,-3.347033645649077,-3.42,-1.6424801335410706,1.64
KMI,-0.6359644073423638,-0.12,-0.4151012850980784,0.22
PEG,-0.76333373387655,0.67,-1.0785001754760728,0.76
AWK,-0.1493405580647788,2.44,-0.34161878795868006,-1.49
FITB,-0.2231250063578258,-0.59,-0.12350002288818018,0.64
PCAR,-1.5285420608520468,-0.61,-1.839000244140621,1.19
VLO,-3.446270609509085,-3.72,-2.054711439129207,1.9
WLTW,-8.096667505900058,5.78,-7.071002349853529,1.91
ES,-1.1833327992757177,0.65,-1.0389997863769622,0.52
